"iso3"	"milex_usd_2021"	"country_name"	"gdp_2015"	"gdp_2020"	"population_2015"	"population_2020"	"gdppc_2020"	"high_income_2020"
"ISR"	24340.97954	"Israel"	300078278118.43	407100736594.06	8380100	9215100	44177.571224844	1
"ITA"	32006.13765	"Italy"	1836637711060.55	1892574064222.11	60730582	59449527	31834.9726184047	1
"JAM"	209.8170122	"Jamaica"	14188935947.57	13812425036.59	2891024	2961161	4664.53024222256	0
"JOR"	2176.760563	"Jordan"	38587017887.32	43697659295.77	9266573	10203140	4282.76582461576	0
"JPN"	54123.5517	"Japan"	4444930651964.18	5040107754084.11	127141000	126261000	39918.1675583443	1
"KAZ"	1617.793375	"Kazakhstan"	184388432148.72	171082379532.99	17542806	18755666	9121.63713797153	0
"KEN"	1113.287247	"Kenya"	70120413328.78	100666542665.72	47878339	53771300	1872.1240264922	0
"KGZ"	124.8522012	"Kyrgyz Republic"	6678178340.45	7780874536.66	5956900	6579900	1182.5217004301	0
"KHM"	643.3795077	"Cambodia"	18049954289.42	25872798012.19	15521435	16718971	1547.51138764401	0
"KIR"		"Kiribati"	170291001.98	180911843.64	110927	119446	1514.59105905597	0
"KNA"		"St. Kitts and Nevis"	958407222.22	980905888.89	51204	53192	18440.8536789367	1
"KOR"	50226.94887	"Korea, Rep."	1465773245547.15	1637895802792.9	51014947	51836239	31597.5046490719	1
"KWT"	9024.335548	"Kuwait"	114567298105.68	105960225688.15	3835588	4270563	24811.7697100242	1
"LAO"		"Lao PDR"	14426381187.09	18981800705.08	6741160	7275556	2608.98283307558	0
"LBN"		"Lebanon"	49929337837.08	25948915861.2	6532681	6825442	3801.79274268245	0
"LBR"	14.0485	"Liberia"	3227075700	3039982540	4472229	5057677	601.063005802862	0
"LBY"		"Libya"	48717854039.97	52320215472.09	6418315	6871287	7614.32544908836	0
"LCA"		"St. Lucia"	1808079888.89	1616772748.15	179131	183629	8804.56108866247	0
"LIE"		"Liechtenstein"	6268391521.2		37465	38137		
"LKA"	1563.052164	"Sri Lanka"	80604080688.58	80969683537.45	20970000	21919000	3694.04094791961	0
"LSO"	37.04405495	"Lesotho"	2359759799.04	2250717718.47	2059011	2142252	1050.63163365935	0
"LTU"	1240.539262	"Lithuania"	41435533340.39	56546957475.49	2904910	2794885	20232.3020358584	1
"LUX"	460.0283822	"Luxembourg"	60071584216.14	73353132793.71	569604	630419	116356.158037289	1
"LVA"	826.6319773	"Latvia"	27263090547.06	33645460617.24	1977527	1900449	17703.9534432337	1
"MAC"		"Macao SAR, China"	45047964934.25	25586111076.34	602093	649342	39403.1359073339	1
"MAF"		"St. Martin (French part)"			35865	38659		
"MAR"	5378.366535	"Morocco"	101179808076.36	114725065285.15	34663608	36910558	3108.19102992564	0
"MCO"		"Monaco"	6261622101.41	6816219303.26	37723	39244	173688.189360412	1
"MDA"	52.29326318	"Moldova"	7745241912.95	11859730543.55	2834530	2620495	4525.75965363414	0
"MDG"	99.18592003	"Madagascar"	11323020828.58	13225591803.62	24234080	27691019	477.613041384284	0
"MDV"		"Maldives"	4109424799.72	3742769967.43	454914	540542	6924.10574465999	0
