"iso3"	"milex_usd_1983"	"milex_usd_1984"	"milex_usd_1985"	"milex_usd_1986"	"milex_usd_1987"	"milex_usd_1988"	"milex_usd_1989"	"milex_usd_1990"	"milex_usd_1991"	"milex_usd_1992"	"milex_usd_1993"	"milex_usd_1994"	"milex_usd_1995"	"milex_usd_1996"	"milex_usd_1997"	"milex_usd_1998"	"milex_usd_1999"	"milex_usd_2000"	"milex_usd_2001"	"milex_usd_2002"	"milex_usd_2003"	"milex_usd_2004"	"milex_usd_2005"	"milex_usd_2006"	"milex_usd_2007"	"milex_usd_2008"	"milex_usd_2009"	"milex_usd_2010"	"milex_usd_2011"	"milex_usd_2012"	"milex_usd_2013"	"milex_usd_2014"	"milex_usd_2015"	"milex_usd_2016"	"milex_usd_2017"	"milex_usd_2018"	"milex_usd_2019"	"milex_usd_2020"	"milex_usd_2021"	"country_name"	"gdp_2015"	"gdp_2020"	"population_2015"	"population_2020"	"gdppc_2020"	"high_income_2020"
"BLZ"	2.89975	3.256125	3.263				4.355375	4.76875	4.732875	5.292125	6.130375	7.899375	8.052875	7.965875	9.395			7.116125	7.4546625	7.8299375	8.552225	9.48615	10.7109625	12.2830375	13.759075	18.7177375	17.2675375	15.33725	15.41625	15.219125	17.778875	19.916875	19.717625	21.7128875	23.05595	23.3411625	24.42495	26.6992	21.81705	"Belize"	1734320479.14	1585631670.35	360926	397621	3987.79659613049	0
"BMU"																																								"Bermuda"	6654541000	6881662000	65237	63893	107706.039785266	1
"BOL"	89.9734826	144.6807857	131.2080002	92.86920722	103.3623872	92.91695167	101.6908724	137.0651275	143.6439601	141.4419103	109.897118	134.5952404	140.7608628	146.9630178	180.2004469	228.6770004	176.7442421	173.2454225	188.9194786	157.3455362	173.4064745	166.3831418	163.9588662	167.9099859	195.3641809	327.1127351	305.420457	335.5995327	403.5692024	499.8732296	564.5121076	625.9096546	580.6717143	519.3099343	574.1261134	602.855918	593.1585686	510.4958273	625.3367645	"Bolivia"	33000198248.91	36629843806.08	10869732	11673029	3137.98961744034	0
"BRA"	2082.669251	2013.151758	2687.049984	2758.186568	4323.67477	5874.167753	8761.486966	9236.296955	6694.665295	4993.804467	7099.899155	10591.49912	14318.91961	14073.22654	13934.26655	14357.35705	9866.973919	11344.03253	10930.23157	9664.561903	8392.905884	9780.111585	13588.61974	16404.86731	20485.75801	24452.90304	25648.80991	34002.94447	36936.2099	33987.00507	32874.78723	32660.23937	24617.70168	24224.7469	29261.8331	28177.40687	25906.8712	19591.209	19187.12248	"Brazil"	1802211999538.68	1448565936739.56	204471759	212559409	6814.87563196772	0
"BRB"																																								"Barbados"	4724691212.51	4689534961.76	285327	287371	16318.7481052716	1
"BRN"		97.36624974	101.7521533	110.1624859	104.4644299	178.3921845	186.1290289	231.1685876	245.4342855	251.6927875	233.9412919	261.8760802	285.7384752	328.3594792	369.0707902	293.9770554	258.4131779	244.205202	217.6679392	226.1824315	243.373245	199.3811493	248.5880798	293.4364635	323.1371508	361.9890345	349.7597228	390.71954	415.371529	411.2614739	412.0942798	527.7851805	424.0220392	403.3664887	346.7068044	357.7087675	414.728739	436.5482234	453.3377986	"Brunei Darussalam"	12930394937.81	12005825769.51	414914	437483	27442.953827943	1
"BTN"																																								"Bhutan"	2003598212.99	2315436303.3	727885	771612	3000.77798595667	0
"BWA"	24.45461424	26.10966057	20.99791335	34.31090818	73.82634281	93.74709476	102.7984158	156.2508398	172.2691882	177.9860456	185.6714829	170.4337623	165.8739778	140.5601348	160.5076751	181.0510474	169.5787562	184.7183946	210.3220936	223.5492588	301.0143578	314.0388971	283.8357451	272.9342748	306.4514027	332.4002543	330.1472787	348.6727253	363.3244812	326.8741617	306.4385736	346.2813217	383.7398775	514.4634492	522.4304555	498.0874324	514.7209302	499.0274795	517.8465684	"Botswana"	13578754072.47	14930072799.01	2120716	2351625	6348.83231765694	0
"CAF"									21.59818792	23.18543817	19.14445037	10.68974523	13.01417616	12.19621857						10.68196296	15.01892636	15.10358992	15.39619465		19.11251974	31.51148379	35.99238436	51.5852745	49.87432873	42.74602519	47.92324145	38.40700992	26.70388562	26.83299882	27.51626418	30.51764841	40.77766666	44.34809808	43.19741259	"Central African Republic"	1695825708.46	2326720920.59	4493171	4829764	481.746296628572	0
"CAN"	6947.104072	7349.795764	7460.563318	7780.13674	8694.447168	9897.335684	10747.13469	11414.63185	11338.5033	10788.80312	10268.82262	9577.37764	9176.903908	8615.884471	7945.140183	7748.607984	8210.77854	8299.385231	8375.571425	8495.399281	9958.245602	11336.48983	12988.13296	14809.8928	17417.13993	19342.0584	18936.22605	19315.68883	21393.72086	20452.10711	18515.73121	17853.64048	17937.64189	17782.77554	22269.69632	22729.32758	22394.87566	23281.31991	26449.16268	"Canada"	1556508816217.14	1645423407568.36	35702908	38037204	43258.2638715601	1
