Id,Label,timeset,indegree,outdegree,Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
nakamoto_monio,nakamoto_monio,,0,1,1,0,1,1,1,0,1
salmank85668825,salmank85668825,,0,2,2,0,1,1,1,0,0
rafaybaloch,rafaybaloch,,1,0,1,0.000989,0,0,0,0,0
kazamanirao,kazamanirao,,0,1,1,0,1,1,1,0,205
mikeisaac,mikeisaac,,1,0,1,0.000989,0,0,0,0,205
iamsspadhy,iamsspadhy,,0,1,1,0,1,1,1,0,206
thebabylonbee,thebabylonbee,,1,0,1,0.000989,0,0,0,0,206
lastcarnxval,lastcarnxval,,0,1,1,0,1,1,1,0,1
clauskullak,clauskullak,,1,1,2,0.002748,0,0,0,0,207
hnic89963721,hnic89963721,,0,1,1,0,1,1,1,0,46
_thewarondrugs,_thewarondrugs,,0,1,1,0,1,1,1,0,0
lordofintent,lordofintent,,0,1,1,0,1,1,1,0,181
belenkisott,belenkisott,,0,1,1,0,1,1,1,0,1
sumonseng,sumonseng,,1,1,2,0.002748,0,0,0,0,208
hunter_odd,hunter_odd,,0,1,1,0,1,1,1,0,1
feggunczy,feggunczy,,0,1,1,0,1,1,1,0,181
arnaudmarion,arnaudmarion,,0,2,2,0,1,1,1,0,45
afiyasaluckywin,afiyasaluckywin,,0,2,2,0,1,1,1,0,0
0xblesswins,0xblesswins,,0,2,2,0,1,1,1,0,0
babar01_,babar01_,,0,2,2,0,1,1,1,0,0
ayanahaq,ayanahaq,,0,2,2,0,1,1,1,0,0
kor3shan,kor3shan,,1,1,2,0.002748,0,0,0,0,209
0xyg3nbigwin23,0xyg3nbigwin23,,0,2,2,0,1,1,1,0,0
anirn4,anirn4,,0,1,1,0,1,1,1,0,1
thelucky_misufe,thelucky_misufe,,0,2,2,0,1,1,1,0,0
ali84498307,ali84498307,,0,1,1,0,1,1,1,0,47
adnan_here_,adnan_here_,,0,1,1,0,1,1,1,0,210
