iso3	interview_id	q86
JOR	400070750	3
JOR	400070778	4
JOR	400070823	2
JOR	400070844	4
JOR	400070859	4
JOR	400070920	3
JOR	400071059	4
JOR	400071139	4
JOR	400070018	4
JOR	400070104	4
JOR	400070286	4
JOR	400070373	3
JOR	400070421	3
JOR	400070572	4
JOR	400070619	4
JOR	400070997	4
JOR	400071084	4
JOR	400070011	3
JOR	400070162	4
JOR	400070175	3
JOR	400070225	4
JOR	400070243	4
JOR	400070310	4
JOR	400070410	3
JOR	400070573	4
JOR	400070601	4
JOR	400070667	4
JOR	400070685	4
JOR	400070783	4
JOR	400070786	4
JOR	400070918	4
JOR	400070942	2
JOR	400070973	3
JOR	400071094	4
JOR	400071129	2
JOR	400070154	4
JOR	400070375	4
JOR	400070424	4
JOR	400070655	3
JOR	400070798	4
JOR	400070984	2
JOR	400071119	2
JOR	400071134	3
JOR	400071181	4
JOR	400070134	4
JOR	400070324	4
JOR	400070740	4
JOR	400070812	4
JOR	400070032	4
JOR	400070034	4
JOR	400070164	4
JOR	400070258	3
JOR	400070562	3
JOR	400070671	4
JOR	400070726	4
JOR	400070850	1
JOR	400070871	4
JOR	400070962	3
JOR	400071079	3
JOR	400070282	4
JOR	400070306	4
JOR	400070480	3
JOR	400070539	4
JOR	400070576	4
JOR	400070741	3
JOR	400070845	3
JOR	400070919	3
JOR	400070976	4
JOR	400071048	4
JOR	400071093	4
JOR	400071147	4
JOR	400070182	3
JOR	400070212	4
JOR	400070257	4
JOR	400070262	4
JOR	400070361	2
JOR	400070369	4
JOR	400070442	4
JOR	400070730	4
JOR	400070932	4
JOR	400071031	4
JOR	400071117	4
JOR	400070140	3
JOR	400070223	2
JOR	400070614	4
JOR	400070628	3
JOR	400070965	4
JOR	400071153	4
JOR	400070408	4
JOR	400070649	4
JOR	400070654	3
JOR	400070664	2
JOR	400070698	3
JOR	400070734	4
JOR	400070888	4
JOR	400070912	4
JOR	400071016	4
JOR	400070113	4
JOR	400070270	4
JOR	400070292	4
JOR	400070364	3
JOR	400070406	4
JOR	400070459	4
JOR	400070637	4
JOR	400070669	4
JOR	400070766	4
JOR	400070808	4
JOR	400070826	4
JOR	400070854	3
JOR	400070986	1
JOR	400071034	2
JOR	400071116	4
JOR	400070213	3
JOR	400070507	4
JOR	400070521	4
JOR	400070526	4
JOR	400070674	4
JOR	400070818	4
JOR	400070847	3
JOR	400070998	2
JOR	400070999	3
JOR	400071056	4
JOR	400071114	1
JOR	400071151	4
JOR	400070099	4
JOR	400070235	2
JOR	400070366	4
JOR	400070804	4
JOR	400071040	1
JOR	400071067	4
JOR	400071096	4
JOR	400071109	4
JOR	400071111	4
JOR	400070007	4
JOR	400070050	4
JOR	400070407	3
JOR	400070860	4
JOR	400071045	3
JOR	400071176	4
JOR	400070021	4
JOR	400070118	3
JOR	400070240	3
JOR	400070469	4
JOR	400070545	4
JOR	400070617	3
JOR	400070916	4
JOR	400070466	4
JOR	400070495	4
JOR	400070497	3
JOR	400070540	4
JOR	400070727	4
JOR	400070940	4
JOR	400071039	3
JOR	400071137	4
JOR	400070856	4
JOR	400071180	2
JOR	400070586	1
JOR	400070746	3
JOR	400070782	4
JOR	400070896	4
JOR	400071138	4
JOR	400071140	4
JOR	400070180	4
JOR	400070275	3
JOR	400070409	4
JOR	400070577	4
JOR	400070968	2
JOR	400070168	4
JOR	400070170	4
JOR	400070184	4
JOR	400070188	4
JOR	400070460	4
JOR	400070620	4
JOR	400070652	4
JOR	400070724	4
JOR	400070869	3
JOR	400071172	4
JOR	400070036	4
JOR	400070108	4
JOR	400070142	4
JOR	400070278	4
JOR	400070347	4
JOR	400070374	3
JOR	400070386	3
JOR	400070483	4
JOR	400070611	4
JOR	400070623	3
JOR	400070631	4
JOR	400070638	3
JOR	400070679	4
JOR	400070718	4
JOR	400070728	4
JOR	400070838	4
JOR	400070840	3
JOR	400070855	4
JOR	400070936	4
JOR	400070944	3
JOR	400070972	4
JOR	400071055	4
JOR	400071092	4
JOR	400071122	2
JOR	400071152	4
JOR	400070230	1
JOR	400070439	2
JOR	400070441	3
JOR	400071047	1
JOR	400071200	4
JOR	400070052	4
JOR	400070064	4
JOR	400070111	4
JOR	400070178	4
JOR	400070210	4
JOR	400070226	3
JOR	400070322	4
JOR	400070371	4
JOR	400070451	3
JOR	400070458	3
JOR	400070541	1
JOR	400070549	2
JOR	400070561	3
JOR	400070627	4
JOR	400070650	4
JOR	400070670	4
JOR	400070742	3
JOR	400070751	3
JOR	400070834	2
JOR	400070967	4
JOR	400071028	4
JOR	400071110	4
JOR	400071118	4
JOR	400071120	1
JOR	400071146	4
LBY	434070013	4
LBY	434070017	4
LBY	434070027	2
LBY	434070030	3
LBY	434070031	4
LBY	434070060	3
LBY	434070076	4
LBY	434070078	3
LBY	434070108	4
LBY	434070110	3
LBY	434070111	4
LBY	434070170	4
LBY	434070183	4
LBY	434070186	3
LBY	434070286	2
LBY	434070323	4
LBY	434070375	4
LBY	434070408	3
LBY	434070508	3
LBY	434070547	4
LBY	434070555	2
LBY	434070558	4
LBY	434070584	2
LBY	434070712	4
LBY	434070713	4
LBY	434070754	4
LBY	434070811	4
LBY	434070831	4
LBY	434070915	3
LBY	434070953	4
LBY	434070954	4
LBY	434070967	3
LBY	434071125	4
LBY	434071126	1
LBY	434071153	4
LBY	434071162	3
MDV	462070560	3
MDV	462070561	3
MDV	462070607	4
MDV	462070604	3
MDV	462070816	3
MDV	462070817	3
MDV	462070819	3
MDV	462070826	4
MDV	462070827	3
MDV	462070828	4
MDV	462070829	3
MDV	462070830	4
MDV	462070832	3
MDV	462070838	3
MDV	462070840	3
MDV	462070841	2
MDV	462070844	4
MDV	462070845	3
MDV	462070849	2
MDV	462070850	3
MDV	462070822	2
MDV	462070775	2
MDV	462070414	2
MDV	462070936	2
MDV	462070179	3
MDV	462070183	3
NGA	566070051	3
NGA	566070054	3
NGA	566070139	2
NGA	566070189	3
NGA	566070266	1
NGA	566070373	3
NGA	566070383	4
NGA	566070397	4
NGA	566070398	4
NGA	566070437	4
NGA	566070476	2
NGA	566070560	4
NGA	566070565	2
NGA	566070644	4
NGA	566070656	3
NGA	566070701	2
NGA	566070844	2
NGA	566070979	4
NGA	566071065	1
NGA	566071137	4
NGA	566071198	2
PHL	608070010	2
PHL	608070025	2
PHL	608070052	2
PHL	608070082	3
PHL	608070107	4
PHL	608070134	2
PHL	608070171	3
PHL	608070179	3
PHL	608070190	4
PHL	608070221	3
PHL	608070250	2
PHL	608070263	4
PHL	608070266	3
PHL	608070275	2
PHL	608070293	3
PHL	608070340	4
PHL	608070384	4
PHL	608070405	2
PHL	608070454	2
PHL	608070465	3
PHL	608070472	3
PHL	608070489	3
PHL	608070669	3
PHL	608070670	1
PHL	608070687	4
PHL	608070701	2
PHL	608070732	2
PHL	608070736	2
PHL	608070739	3
PHL	608070750	2
PHL	608070752	2
PHL	608070755	3
PHL	608070762	2
PHL	608070773	2
PHL	608070794	4
PHL	608070799	3
PHL	608070800	3
PHL	608070991	3
PHL	608071166	3
PHL	608071168	3
PHL	608071171	2
PHL	608071197	2
SRB	688070037	3
SRB	688070038	3
SRB	688070320	2
SRB	688070416	4
SRB	688070421	3
SRB	688070423	3
SRB	688070466	4
SRB	688070803	1
SRB	688071168	3
THA	764070830	2
TUN	788070436	2
TUN	788070488	4
TUN	788070764	3
TUN	788070993	4
SGP	702070001	3
SGP	702070002	1
SGP	702070003	3
SGP	702070004	3
SGP	702070005	2
SGP	702070006	2
SGP	702070007	2
SGP	702070008	3
SGP	702070009	3
SGP	702070011	4
SGP	702070013	3
SGP	702070014	2
SGP	702070015	2
SGP	702070016	2
SGP	702070017	2
SGP	702070018	2
SGP	702070019	2
SGP	702070020	3
SGP	702070022	2
SGP	702070023	2
SGP	702070024	2
SGP	702070025	4
SGP	702070026	4
SGP	702070028	1
SGP	702070029	3
SGP	702070031	3
SGP	702070032	3
SGP	702070034	3
SGP	702070035	2
SGP	702070036	3
SGP	702070037	3
SGP	702070038	3
SGP	702070039	2
SGP	702070040	2
SGP	702070041	2
SGP	702070042	3
SGP	702070044	2
SGP	702070045	2
SGP	702070046	3
SGP	702070047	3
SGP	702070048	4
SGP	702070049	4
SGP	702070050	3
SGP	702070051	2
SGP	702070052	3
SGP	702070053	3
SGP	702070054	4
SGP	702070055	4
SGP	702070056	2
SGP	702070057	3
SGP	702070058	3
SGP	702070059	4
SGP	702070060	3
SGP	702070061	3
SGP	702070062	2
SGP	702070063	4
SGP	702070064	2
SGP	702070065	3
SGP	702070066	3
SGP	702070067	3
SGP	702070068	2
SGP	702070069	3
SGP	702070070	3
SGP	702070071	2
SGP	702070073	3
SGP	702070074	3
SGP	702070075	2
SGP	702070076	3
SGP	702070077	2
SGP	702070078	2
SGP	702070079	3
SGP	702070080	2
SGP	702070081	4
SGP	702070082	3
SGP	702070083	3
SGP	702070084	2
SGP	702070085	3
SGP	702070086	2
SGP	702070087	2
SGP	702070088	1
SGP	702070089	3
SGP	702070090	2
SGP	702070091	2
SGP	702070092	2
SGP	702070093	2
SGP	702070094	3
SGP	702070095	1
SGP	702070096	4
SGP	702070098	2
SGP	702070099	3
SGP	702070100	3
SGP	702070101	3
SGP	702070102	3
SGP	702070103	3
SGP	702070104	3
SGP	702070105	2
SGP	702070106	3
SGP	702070107	2
SGP	702070108	2
SGP	702070109	3
SGP	702070111	2
SGP	702070112	3
SGP	702070115	3
SGP	702070116	3
SGP	702070117	2
SGP	702070118	4
SGP	702070120	3
SGP	702070121	3
SGP	702070124	3
SGP	702070125	3
SGP	702070126	2
SGP	702070127	3
SGP	702070128	2
SGP	702070129	3
SGP	702070130	2
SGP	702070131	4
SGP	702070134	3
SGP	702070135	3
SGP	702070137	3
SGP	702070138	1
SGP	702070140	2
SGP	702070141	3
SGP	702070142	2
SGP	702070143	2
SGP	702070146	3
SGP	702070147	3
SGP	702070149	2
SGP	702070150	2
SGP	702070152	3
SGP	702070153	3
SGP	702070154	3
SGP	702070155	3
SGP	702070156	2
SGP	702070157	2
SGP	702070160	2
SGP	702070162	2
SGP	702070164	2
SGP	702070165	3
SGP	702070166	2
SGP	702070167	3
SGP	702070168	2
SGP	702070170	2
SGP	702070171	3
SGP	702070172	3
SGP	702070174	1
SGP	702070176	2
SGP	702070177	3
SGP	702070178	3
SGP	702070179	2
SGP	702070180	3
SGP	702070181	3
SGP	702070182	2
SGP	702070183	2
SGP	702070184	2
SGP	702070186	2
SGP	702070187	2
SGP	702070188	3
SGP	702070189	2
SGP	702070190	2
SGP	702070191	3
SGP	702070192	3
SGP	702070193	2
SGP	702070194	2
SGP	702070196	3
SGP	702070197	4
SGP	702070198	2
SGP	702070199	2
SGP	702070200	2
SGP	702070201	3
SGP	702070202	2
SGP	702070203	3
SGP	702070204	3
SGP	702070205	2
SGP	702070206	3
SGP	702070207	3
SGP	702070208	3
SGP	702070209	3
SGP	702070210	3
SGP	702070211	2
SGP	702070212	3
SGP	702070213	2
SGP	702070214	4
SGP	702070215	2
SGP	702070216	2
SGP	702070217	3
SGP	702070218	3
SGP	702070219	4
SGP	702070220	3
SGP	702070221	3
SGP	702070222	3
SGP	702070224	1
SGP	702070225	1
SGP	702070227	2
SGP	702070229	3
SGP	702070230	3
SGP	702070231	2
SGP	702070232	3
SGP	702070234	3
SGP	702070235	3
SGP	702070237	3
SGP	702070238	1
SGP	702070243	3
SGP	702070244	4
SGP	702070245	3
SGP	702070248	2
SGP	702070249	3
SGP	702070250	2
SGP	702070251	2
SGP	702070258	3
SGP	702070259	2
SGP	702070260	2
SGP	702070262	3
SGP	702070264	2
SGP	702070265	4
SGP	702070266	3
SGP	702070267	4
SGP	702070268	3
SGP	702070269	2
SGP	702070270	2
SGP	702070271	1
SGP	702070273	4
SGP	702070274	4
SGP	702070275	3
SGP	702070279	1
SGP	702070283	2
SGP	702070285	4
SGP	702070287	4
SGP	702070289	3
SGP	702070290	3
SGP	702070294	3
SGP	702070295	2
SGP	702070296	2
SGP	702070297	3
SGP	702070298	2
SGP	702070299	3
SGP	702070300	3
SGP	702070301	3
SGP	702070304	2
SGP	702070305	3
SGP	702070306	3
SGP	702070307	2
SGP	702070309	3
SGP	702070311	4
SGP	702070315	2
SGP	702070317	2
SGP	702070318	2
SGP	702070319	3
SGP	702070320	2
SGP	702070322	4
SGP	702070323	3
SGP	702070324	3
SGP	702070326	2
SGP	702070327	2
SGP	702070332	2
SGP	702070333	3
SGP	702070340	3
SGP	702070341	4
SGP	702070342	2
SGP	702070343	3
SGP	702070344	3
SGP	702070345	3
SGP	702070346	2
SGP	702070347	3
SGP	702070348	3
SGP	702070349	2
SGP	702070350	3
SGP	702070351	4
